video_source_id,exercise_id,provider,search_query,youtube_video_id,youtube_url,youtube_embed_url,channel_id,channel_title,video_title,thumbnail_url,license_type,is_embeddable,is_syndicated,duration_seconds,language,audience_safety,pregnancy_trimester,review_status,usage_policy,created_version
YTV-EX00018,EX00018,youtube,Power Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00019,EX00019,youtube,Power Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00020,EX00020,youtube,Power Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00021,EX00021,youtube,Isometric Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00022,EX00022,youtube,Isometric Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00023,EX00023,youtube,Isometric Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00024,EX00024,youtube,Isometric Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00025,EX00025,youtube,Single Side Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00026,EX00026,youtube,Single Side Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00027,EX00027,youtube,Single Side Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00028,EX00028,youtube,Single Side Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00029,EX00029,youtube,Low Impact Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00030,EX00030,youtube,Low Impact Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00031,EX00031,youtube,Low Impact Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00032,EX00032,youtube,Low Impact Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00033,EX00033,youtube,Density Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00034,EX00034,youtube,Density Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00035,EX00035,youtube,Density Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00036,EX00036,youtube,Density Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00037,EX00037,youtube,Bodyweight Chair Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00038,EX00038,youtube,Bodyweight Chair Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00039,EX00039,youtube,Bodyweight Chair Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00040,EX00040,youtube,Bodyweight Chair Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00041,EX00041,youtube,Slow Tempo Chair Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00042,EX00042,youtube,Slow Tempo Chair Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00043,EX00043,youtube,Slow Tempo Chair Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00044,EX00044,youtube,Slow Tempo Chair Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00045,EX00045,youtube,Pause Chair Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00046,EX00046,youtube,Pause Chair Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00047,EX00047,youtube,Pause Chair Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00048,EX00048,youtube,Pause Chair Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00049,EX00049,youtube,Range Builder Chair Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00050,EX00050,youtube,Range Builder Chair Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00051,EX00051,youtube,Range Builder Chair Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00052,EX00052,youtube,Range Builder Chair Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00053,EX00053,youtube,Power Chair Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00054,EX00054,youtube,Power Chair Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00055,EX00055,youtube,Power Chair Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00056,EX00056,youtube,Power Chair Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00057,EX00057,youtube,Isometric Chair Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00058,EX00058,youtube,Isometric Chair Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00059,EX00059,youtube,Isometric Chair Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00060,EX00060,youtube,Isometric Chair Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00061,EX00061,youtube,Single Side Chair Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00062,EX00062,youtube,Single Side Chair Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00063,EX00063,youtube,Single Side Chair Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00064,EX00064,youtube,Single Side Chair Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00065,EX00065,youtube,Low Impact Chair Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00066,EX00066,youtube,Low Impact Chair Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00067,EX00067,youtube,Low Impact Chair Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00068,EX00068,youtube,Low Impact Chair Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00069,EX00069,youtube,Density Chair Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00070,EX00070,youtube,Density Chair Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00071,EX00071,youtube,Density Chair Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00072,EX00072,youtube,Density Chair Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00073,EX00073,youtube,Bodyweight Dumbbells Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00074,EX00074,youtube,Bodyweight Dumbbells Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00075,EX00075,youtube,Bodyweight Dumbbells Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00076,EX00076,youtube,Bodyweight Dumbbells Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00077,EX00077,youtube,Slow Tempo Dumbbells Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00078,EX00078,youtube,Slow Tempo Dumbbells Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00079,EX00079,youtube,Slow Tempo Dumbbells Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00080,EX00080,youtube,Slow Tempo Dumbbells Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00081,EX00081,youtube,Pause Dumbbells Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00082,EX00082,youtube,Pause Dumbbells Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00083,EX00083,youtube,Pause Dumbbells Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00084,EX00084,youtube,Pause Dumbbells Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00085,EX00085,youtube,Range Builder Dumbbells Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00086,EX00086,youtube,Range Builder Dumbbells Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00087,EX00087,youtube,Range Builder Dumbbells Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00088,EX00088,youtube,Range Builder Dumbbells Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00089,EX00089,youtube,Power Dumbbells Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00090,EX00090,youtube,Power Dumbbells Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00091,EX00091,youtube,Power Dumbbells Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00092,EX00092,youtube,Power Dumbbells Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00093,EX00093,youtube,Isometric Dumbbells Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00094,EX00094,youtube,Isometric Dumbbells Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00095,EX00095,youtube,Isometric Dumbbells Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00096,EX00096,youtube,Isometric Dumbbells Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
