nutrition_template_id,title,audience,diet_style,goal,meal_schedule,calorie_strategy,macro_strategy,hydration_strategy,foods_to_prioritize,foods_to_limit,allergen_flags,protein_guidance,recovery_food_notes,risk_notes,data_source_hint,created_version
NT0011,Omnivore Maintenance - 3 Meals,general_adult,omnivore,maintenance,3_meals,"calculate TDEE/BMR then adjust gently; no aggressive deficit for pregnancy, children or medical users","protein, carbohydrates and fats balanced around training/recovery; personalize by body size, goal, activity and medical review",water first; add electrolytes for long heat/sweat sessions where suitable,vegetables; fruit; legumes; whole grains where tolerated; lean proteins or diet-appropriate alternatives; healthy fats; calcium/iron/B12 sources where relevant,ultra-processed foods; excessive added sugar; alcohol; stimulant-heavy drinks; foods blocked by allergy/medical/religious preference,milk;egg;fish;shellfish;tree_nuts;peanuts;wheat;soy;sesame;sulfites,Use body-weight/goal-based protein targets only after profile setup; prioritize whole foods first.,"After hard training, pair carbohydrate + protein + fluids; for vegan/vegetarian, combine legumes/grains/soy/nuts/seeds and check B12/iron/calcium planning.","Pregnancy, baby, child, diabetes, kidney disease, eating disorders, allergies and medication interactions require qualified review. Carnivore/very restrictive diets need extra review for fiber/micronutrients.",Use USDA FoodData Central for nutrient values; use Open Food Facts for packaged barcode data with license/attribution handling.,v0.1-safe-seed-2026-06-11
NT0012,Omnivore Maintenance - 3 Meals 1 Snack,general_adult,omnivore,maintenance,3_meals_1_snack,"calculate TDEE/BMR then adjust gently; no aggressive deficit for pregnancy, children or medical users","protein, carbohydrates and fats balanced around training/recovery; personalize by body size, goal, activity and medical review",water first; add electrolytes for long heat/sweat sessions where suitable,vegetables; fruit; legumes; whole grains where tolerated; lean proteins or diet-appropriate alternatives; healthy fats; calcium/iron/B12 sources where relevant,ultra-processed foods; excessive added sugar; alcohol; stimulant-heavy drinks; foods blocked by allergy/medical/religious preference,milk;egg;fish;shellfish;tree_nuts;peanuts;wheat;soy;sesame;sulfites,Use body-weight/goal-based protein targets only after profile setup; prioritize whole foods first.,"After hard training, pair carbohydrate + protein + fluids; for vegan/vegetarian, combine legumes/grains/soy/nuts/seeds and check B12/iron/calcium planning.","Pregnancy, baby, child, diabetes, kidney disease, eating disorders, allergies and medication interactions require qualified review. Carnivore/very restrictive diets need extra review for fiber/micronutrients.",Use USDA FoodData Central for nutrient values; use Open Food Facts for packaged barcode data with license/attribution handling.,v0.1-safe-seed-2026-06-11
NT0013,Omnivore Maintenance - 3 Meals 2 Snacks,general_adult,omnivore,maintenance,3_meals_2_snacks,"calculate TDEE/BMR then adjust gently; no aggressive deficit for pregnancy, children or medical users","protein, carbohydrates and fats balanced around training/recovery; personalize by body size, goal, activity and medical review",water first; add electrolytes for long heat/sweat sessions where suitable,vegetables; fruit; legumes; whole grains where tolerated; lean proteins or diet-appropriate alternatives; healthy fats; calcium/iron/B12 sources where relevant,ultra-processed foods; excessive added sugar; alcohol; stimulant-heavy drinks; foods blocked by allergy/medical/religious preference,milk;egg;fish;shellfish;tree_nuts;peanuts;wheat;soy;sesame;sulfites,Use body-weight/goal-based protein targets only after profile setup; prioritize whole foods first.,"After hard training, pair carbohydrate + protein + fluids; for vegan/vegetarian, combine legumes/grains/soy/nuts/seeds and check B12/iron/calcium planning.","Pregnancy, baby, child, diabetes, kidney disease, eating disorders, allergies and medication interactions require qualified review. Carnivore/very restrictive diets need extra review for fiber/micronutrients.",Use USDA FoodData Central for nutrient values; use Open Food Facts for packaged barcode data with license/attribution handling.,v0.1-safe-seed-2026-06-11
NT0014,Omnivore Maintenance - Time Restricted 12 Hour Window Adult Only,general_adult,omnivore,maintenance,time_restricted_12_hour_window_adult_only,"calculate TDEE/BMR then adjust gently; no aggressive deficit for pregnancy, children or medical users","protein, carbohydrates and fats balanced around training/recovery; personalize by body size, goal, activity and medical review",water first; add electrolytes for long heat/sweat sessions where suitable,vegetables; fruit; legumes; whole grains where tolerated; lean proteins or diet-appropriate alternatives; healthy fats; calcium/iron/B12 sources where relevant,ultra-processed foods; excessive added sugar; alcohol; stimulant-heavy drinks; foods blocked by allergy/medical/religious preference,milk;egg;fish;shellfish;tree_nuts;peanuts;wheat;soy;sesame;sulfites,Use body-weight/goal-based protein targets only after profile setup; prioritize whole foods first.,"After hard training, pair carbohydrate + protein + fluids; for vegan/vegetarian, combine legumes/grains/soy/nuts/seeds and check B12/iron/calcium planning.","Pregnancy, baby, child, diabetes, kidney disease, eating disorders, allergies and medication interactions require qualified review. Carnivore/very restrictive diets need extra review for fiber/micronutrients.",Use USDA FoodData Central for nutrient values; use Open Food Facts for packaged barcode data with license/attribution handling.,v0.1-safe-seed-2026-06-11
NT0015,Omnivore Maintenance - Shift Worker Flexible,general_adult,omnivore,maintenance,shift_worker_flexible,"calculate TDEE/BMR then adjust gently; no aggressive deficit for pregnancy, children or medical users","protein, carbohydrates and fats balanced around training/recovery; personalize by body size, goal, activity and medical review",water first; add electrolytes for long heat/sweat sessions where suitable,vegetables; fruit; legumes; whole grains where tolerated; lean proteins or diet-appropriate alternatives; healthy fats; calcium/iron/B12 sources where relevant,ultra-processed foods; excessive added sugar; alcohol; stimulant-heavy drinks; foods blocked by allergy/medical/religious preference,milk;egg;fish;shellfish;tree_nuts;peanuts;wheat;soy;sesame;sulfites,Use body-weight/goal-based protein targets only after profile setup; prioritize whole foods first.,"After hard training, pair carbohydrate + protein + fluids; for vegan/vegetarian, combine legumes/grains/soy/nuts/seeds and check B12/iron/calcium planning.","Pregnancy, baby, child, diabetes, kidney disease, eating disorders, allergies and medication interactions require qualified review. Carnivore/very restrictive diets need extra review for fiber/micronutrients.",Use USDA FoodData Central for nutrient values; use Open Food Facts for packaged barcode data with license/attribution handling.,v0.1-safe-seed-2026-06-11
NT0016,Omnivore Endurance - 3 Meals,general_adult,omnivore,endurance,3_meals,"calculate TDEE/BMR then adjust gently; no aggressive deficit for pregnancy, children or medical users","protein, carbohydrates and fats balanced around training/recovery; personalize by body size, goal, activity and medical review",water first; add electrolytes for long heat/sweat sessions where suitable,vegetables; fruit; legumes; whole grains where tolerated; lean proteins or diet-appropriate alternatives; healthy fats; calcium/iron/B12 sources where relevant,ultra-processed foods; excessive added sugar; alcohol; stimulant-heavy drinks; foods blocked by allergy/medical/religious preference,milk;egg;fish;shellfish;tree_nuts;peanuts;wheat;soy;sesame;sulfites,Use body-weight/goal-based protein targets only after profile setup; prioritize whole foods first.,"After hard training, pair carbohydrate + protein + fluids; for vegan/vegetarian, combine legumes/grains/soy/nuts/seeds and check B12/iron/calcium planning.","Pregnancy, baby, child, diabetes, kidney disease, eating disorders, allergies and medication interactions require qualified review. Carnivore/very restrictive diets need extra review for fiber/micronutrients.",Use USDA FoodData Central for nutrient values; use Open Food Facts for packaged barcode data with license/attribution handling.,v0.1-safe-seed-2026-06-11
NT0017,Omnivore Endurance - 3 Meals 1 Snack,general_adult,omnivore,endurance,3_meals_1_snack,"calculate TDEE/BMR then adjust gently; no aggressive deficit for pregnancy, children or medical users","protein, carbohydrates and fats balanced around training/recovery; personalize by body size, goal, activity and medical review",water first; add electrolytes for long heat/sweat sessions where suitable,vegetables; fruit; legumes; whole grains where tolerated; lean proteins or diet-appropriate alternatives; healthy fats; calcium/iron/B12 sources where relevant,ultra-processed foods; excessive added sugar; alcohol; stimulant-heavy drinks; foods blocked by allergy/medical/religious preference,milk;egg;fish;shellfish;tree_nuts;peanuts;wheat;soy;sesame;sulfites,Use body-weight/goal-based protein targets only after profile setup; prioritize whole foods first.,"After hard training, pair carbohydrate + protein + fluids; for vegan/vegetarian, combine legumes/grains/soy/nuts/seeds and check B12/iron/calcium planning.","Pregnancy, baby, child, diabetes, kidney disease, eating disorders, allergies and medication interactions require qualified review. Carnivore/very restrictive diets need extra review for fiber/micronutrients.",Use USDA FoodData Central for nutrient values; use Open Food Facts for packaged barcode data with license/attribution handling.,v0.1-safe-seed-2026-06-11
NT0018,Omnivore Endurance - 3 Meals 2 Snacks,general_adult,omnivore,endurance,3_meals_2_snacks,"calculate TDEE/BMR then adjust gently; no aggressive deficit for pregnancy, children or medical users","protein, carbohydrates and fats balanced around training/recovery; personalize by body size, goal, activity and medical review",water first; add electrolytes for long heat/sweat sessions where suitable,vegetables; fruit; legumes; whole grains where tolerated; lean proteins or diet-appropriate alternatives; healthy fats; calcium/iron/B12 sources where relevant,ultra-processed foods; excessive added sugar; alcohol; stimulant-heavy drinks; foods blocked by allergy/medical/religious preference,milk;egg;fish;shellfish;tree_nuts;peanuts;wheat;soy;sesame;sulfites,Use body-weight/goal-based protein targets only after profile setup; prioritize whole foods first.,"After hard training, pair carbohydrate + protein + fluids; for vegan/vegetarian, combine legumes/grains/soy/nuts/seeds and check B12/iron/calcium planning.","Pregnancy, baby, child, diabetes, kidney disease, eating disorders, allergies and medication interactions require qualified review. Carnivore/very restrictive diets need extra review for fiber/micronutrients.",Use USDA FoodData Central for nutrient values; use Open Food Facts for packaged barcode data with license/attribution handling.,v0.1-safe-seed-2026-06-11
NT0019,Omnivore Endurance - Time Restricted 12 Hour Window Adult Only,general_adult,omnivore,endurance,time_restricted_12_hour_window_adult_only,"calculate TDEE/BMR then adjust gently; no aggressive deficit for pregnancy, children or medical users","protein, carbohydrates and fats balanced around training/recovery; personalize by body size, goal, activity and medical review",water first; add electrolytes for long heat/sweat sessions where suitable,vegetables; fruit; legumes; whole grains where tolerated; lean proteins or diet-appropriate alternatives; healthy fats; calcium/iron/B12 sources where relevant,ultra-processed foods; excessive added sugar; alcohol; stimulant-heavy drinks; foods blocked by allergy/medical/religious preference,milk;egg;fish;shellfish;tree_nuts;peanuts;wheat;soy;sesame;sulfites,Use body-weight/goal-based protein targets only after profile setup; prioritize whole foods first.,"After hard training, pair carbohydrate + protein + fluids; for vegan/vegetarian, combine legumes/grains/soy/nuts/seeds and check B12/iron/calcium planning.","Pregnancy, baby, child, diabetes, kidney disease, eating disorders, allergies and medication interactions require qualified review. Carnivore/very restrictive diets need extra review for fiber/micronutrients.",Use USDA FoodData Central for nutrient values; use Open Food Facts for packaged barcode data with license/attribution handling.,v0.1-safe-seed-2026-06-11
NT0020,Omnivore Endurance - Shift Worker Flexible,general_adult,omnivore,endurance,shift_worker_flexible,"calculate TDEE/BMR then adjust gently; no aggressive deficit for pregnancy, children or medical users","protein, carbohydrates and fats balanced around training/recovery; personalize by body size, goal, activity and medical review",water first; add electrolytes for long heat/sweat sessions where suitable,vegetables; fruit; legumes; whole grains where tolerated; lean proteins or diet-appropriate alternatives; healthy fats; calcium/iron/B12 sources where relevant,ultra-processed foods; excessive added sugar; alcohol; stimulant-heavy drinks; foods blocked by allergy/medical/religious preference,milk;egg;fish;shellfish;tree_nuts;peanuts;wheat;soy;sesame;sulfites,Use body-weight/goal-based protein targets only after profile setup; prioritize whole foods first.,"After hard training, pair carbohydrate + protein + fluids; for vegan/vegetarian, combine legumes/grains/soy/nuts/seeds and check B12/iron/calcium planning.","Pregnancy, baby, child, diabetes, kidney disease, eating disorders, allergies and medication interactions require qualified review. Carnivore/very restrictive diets need extra review for fiber/micronutrients.",Use USDA FoodData Central for nutrient values; use Open Food Facts for packaged barcode data with license/attribution handling.,v0.1-safe-seed-2026-06-11
NT0021,Omnivore Pregnancy Support - 3 Meals,pregnant_woman,omnivore,pregnancy_support,3_meals,"calculate TDEE/BMR then adjust gently; no aggressive deficit for pregnancy, children or medical users","protein, carbohydrates and fats balanced around training/recovery; personalize by body size, goal, activity and medical review",water first; add electrolytes for long heat/sweat sessions where suitable,vegetables; fruit; legumes; whole grains where tolerated; lean proteins or diet-appropriate alternatives; healthy fats; calcium/iron/B12 sources where relevant,ultra-processed foods; excessive added sugar; alcohol; stimulant-heavy drinks; foods blocked by allergy/medical/religious preference,milk;egg;fish;shellfish;tree_nuts;peanuts;wheat;soy;sesame;sulfites,Use body-weight/goal-based protein targets only after profile setup; prioritize whole foods first.,"After hard training, pair carbohydrate + protein + fluids; for vegan/vegetarian, combine legumes/grains/soy/nuts/seeds and check B12/iron/calcium planning.","Pregnancy, baby, child, diabetes, kidney disease, eating disorders, allergies and medication interactions require qualified review. Carnivore/very restrictive diets need extra review for fiber/micronutrients.",Use USDA FoodData Central for nutrient values; use Open Food Facts for packaged barcode data with license/attribution handling.,v0.1-safe-seed-2026-06-11
NT0022,Omnivore Pregnancy Support - 3 Meals 1 Snack,pregnant_woman,omnivore,pregnancy_support,3_meals_1_snack,"calculate TDEE/BMR then adjust gently; no aggressive deficit for pregnancy, children or medical users","protein, carbohydrates and fats balanced around training/recovery; personalize by body size, goal, activity and medical review",water first; add electrolytes for long heat/sweat sessions where suitable,vegetables; fruit; legumes; whole grains where tolerated; lean proteins or diet-appropriate alternatives; healthy fats; calcium/iron/B12 sources where relevant,ultra-processed foods; excessive added sugar; alcohol; stimulant-heavy drinks; foods blocked by allergy/medical/religious preference,milk;egg;fish;shellfish;tree_nuts;peanuts;wheat;soy;sesame;sulfites,Use body-weight/goal-based protein targets only after profile setup; prioritize whole foods first.,"After hard training, pair carbohydrate + protein + fluids; for vegan/vegetarian, combine legumes/grains/soy/nuts/seeds and check B12/iron/calcium planning.","Pregnancy, baby, child, diabetes, kidney disease, eating disorders, allergies and medication interactions require qualified review. Carnivore/very restrictive diets need extra review for fiber/micronutrients.",Use USDA FoodData Central for nutrient values; use Open Food Facts for packaged barcode data with license/attribution handling.,v0.1-safe-seed-2026-06-11
NT0023,Omnivore Pregnancy Support - 3 Meals 2 Snacks,pregnant_woman,omnivore,pregnancy_support,3_meals_2_snacks,"calculate TDEE/BMR then adjust gently; no aggressive deficit for pregnancy, children or medical users","protein, carbohydrates and fats balanced around training/recovery; personalize by body size, goal, activity and medical review",water first; add electrolytes for long heat/sweat sessions where suitable,vegetables; fruit; legumes; whole grains where tolerated; lean proteins or diet-appropriate alternatives; healthy fats; calcium/iron/B12 sources where relevant,ultra-processed foods; excessive added sugar; alcohol; stimulant-heavy drinks; foods blocked by allergy/medical/religious preference,milk;egg;fish;shellfish;tree_nuts;peanuts;wheat;soy;sesame;sulfites,Use body-weight/goal-based protein targets only after profile setup; prioritize whole foods first.,"After hard training, pair carbohydrate + protein + fluids; for vegan/vegetarian, combine legumes/grains/soy/nuts/seeds and check B12/iron/calcium planning.","Pregnancy, baby, child, diabetes, kidney disease, eating disorders, allergies and medication interactions require qualified review. Carnivore/very restrictive diets need extra review for fiber/micronutrients.",Use USDA FoodData Central for nutrient values; use Open Food Facts for packaged barcode data with license/attribution handling.,v0.1-safe-seed-2026-06-11
NT0024,Omnivore Postpartum Recovery - 3 Meals,postpartum_parent,omnivore,postpartum_recovery,3_meals,"calculate TDEE/BMR then adjust gently; no aggressive deficit for pregnancy, children or medical users","protein, carbohydrates and fats balanced around training/recovery; personalize by body size, goal, activity and medical review",water first; add electrolytes for long heat/sweat sessions where suitable,vegetables; fruit; legumes; whole grains where tolerated; lean proteins or diet-appropriate alternatives; healthy fats; calcium/iron/B12 sources where relevant,ultra-processed foods; excessive added sugar; alcohol; stimulant-heavy drinks; foods blocked by allergy/medical/religious preference,milk;egg;fish;shellfish;tree_nuts;peanuts;wheat;soy;sesame;sulfites,Use body-weight/goal-based protein targets only after profile setup; prioritize whole foods first.,"After hard training, pair carbohydrate + protein + fluids; for vegan/vegetarian, combine legumes/grains/soy/nuts/seeds and check B12/iron/calcium planning.","Pregnancy, baby, child, diabetes, kidney disease, eating disorders, allergies and medication interactions require qualified review. Carnivore/very restrictive diets need extra review for fiber/micronutrients.",Use USDA FoodData Central for nutrient values; use Open Food Facts for packaged barcode data with license/attribution handling.,v0.1-safe-seed-2026-06-11
