plan_day_id,plan_id,day_number,week_number,is_training_day,focus,session_summary,target_minutes,exercise_filter_tags,nutrition_focus,recovery_focus,created_version
PL0002-D002,PL0002,2,1,true,cardio_endurance,"cardio_endurance session with warm-up, main work, and cool-down",30,fat_loss;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0002-D003,PL0002,3,1,true,mobility_core,"mobility_core session with warm-up, main work, and cool-down",30,fat_loss;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0002-D004,PL0002,4,1,true,upper_lower_split,"upper_lower_split session with warm-up, main work, and cool-down",30,fat_loss;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0002-D005,PL0002,5,1,true,skill_practice,"skill_practice session with warm-up, main work, and cool-down",30,fat_loss;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0002-D006,PL0002,6,1,false,recovery,walk + mobility + hydration check,15,fat_loss;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0002-D007,PL0002,7,1,false,recovery,walk + mobility + hydration check,15,fat_loss;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0002-D008,PL0002,8,2,true,mobility_core,"mobility_core session with warm-up, main work, and cool-down",30,fat_loss;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0002-D009,PL0002,9,2,true,upper_lower_split,"upper_lower_split session with warm-up, main work, and cool-down",30,fat_loss;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0002-D010,PL0002,10,2,true,skill_practice,"skill_practice session with warm-up, main work, and cool-down",30,fat_loss;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0002-D011,PL0002,11,2,true,full_body_strength,"full_body_strength session with warm-up, main work, and cool-down",30,fat_loss;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0002-D012,PL0002,12,2,true,cardio_endurance,"cardio_endurance session with warm-up, main work, and cool-down",30,fat_loss;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0002-D013,PL0002,13,2,false,recovery,walk + mobility + hydration check,15,fat_loss;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0002-D014,PL0002,14,2,false,recovery,walk + mobility + hydration check,15,fat_loss;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0002-D015,PL0002,15,3,true,skill_practice,"skill_practice session with warm-up, main work, and cool-down",30,fat_loss;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0002-D016,PL0002,16,3,true,full_body_strength,"full_body_strength session with warm-up, main work, and cool-down",30,fat_loss;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0002-D017,PL0002,17,3,true,cardio_endurance,"cardio_endurance session with warm-up, main work, and cool-down",30,fat_loss;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0002-D018,PL0002,18,3,true,mobility_core,"mobility_core session with warm-up, main work, and cool-down",30,fat_loss;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0002-D019,PL0002,19,3,true,upper_lower_split,"upper_lower_split session with warm-up, main work, and cool-down",30,fat_loss;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0002-D020,PL0002,20,3,false,recovery,walk + mobility + hydration check,15,fat_loss;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0002-D021,PL0002,21,3,false,recovery,walk + mobility + hydration check,15,fat_loss;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0002-D022,PL0002,22,4,true,cardio_endurance,"cardio_endurance session with warm-up, main work, and cool-down",30,fat_loss;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0002-D023,PL0002,23,4,true,mobility_core,"mobility_core session with warm-up, main work, and cool-down",30,fat_loss;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0002-D024,PL0002,24,4,true,upper_lower_split,"upper_lower_split session with warm-up, main work, and cool-down",30,fat_loss;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0002-D025,PL0002,25,4,true,skill_practice,"skill_practice session with warm-up, main work, and cool-down",30,fat_loss;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0002-D026,PL0002,26,4,true,full_body_strength,"full_body_strength session with warm-up, main work, and cool-down",30,fat_loss;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0002-D027,PL0002,27,4,false,recovery,walk + mobility + hydration check,15,fat_loss;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0002-D028,PL0002,28,4,false,recovery,walk + mobility + hydration check,15,fat_loss;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0003-D001,PL0003,1,1,true,full_body_strength,"full_body_strength session with warm-up, main work, and cool-down",45,muscle_gain;general_adult;intermediate,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0003-D002,PL0003,2,1,true,cardio_endurance,"cardio_endurance session with warm-up, main work, and cool-down",45,muscle_gain;general_adult;intermediate,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0003-D003,PL0003,3,1,true,mobility_core,"mobility_core session with warm-up, main work, and cool-down",45,muscle_gain;general_adult;intermediate,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0003-D004,PL0003,4,1,true,upper_lower_split,"upper_lower_split session with warm-up, main work, and cool-down",45,muscle_gain;general_adult;intermediate,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0003-D005,PL0003,5,1,false,recovery,walk + mobility + hydration check,15,muscle_gain;general_adult;intermediate,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0003-D006,PL0003,6,1,false,recovery,walk + mobility + hydration check,15,muscle_gain;general_adult;intermediate,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0003-D007,PL0003,7,1,false,recovery,walk + mobility + hydration check,15,muscle_gain;general_adult;intermediate,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0003-D008,PL0003,8,2,true,mobility_core,"mobility_core session with warm-up, main work, and cool-down",45,muscle_gain;general_adult;intermediate,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0003-D009,PL0003,9,2,true,upper_lower_split,"upper_lower_split session with warm-up, main work, and cool-down",45,muscle_gain;general_adult;intermediate,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0003-D010,PL0003,10,2,true,skill_practice,"skill_practice session with warm-up, main work, and cool-down",45,muscle_gain;general_adult;intermediate,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0003-D011,PL0003,11,2,true,full_body_strength,"full_body_strength session with warm-up, main work, and cool-down",45,muscle_gain;general_adult;intermediate,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0003-D012,PL0003,12,2,false,recovery,walk + mobility + hydration check,15,muscle_gain;general_adult;intermediate,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0003-D013,PL0003,13,2,false,recovery,walk + mobility + hydration check,15,muscle_gain;general_adult;intermediate,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0003-D014,PL0003,14,2,false,recovery,walk + mobility + hydration check,15,muscle_gain;general_adult;intermediate,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0003-D015,PL0003,15,3,true,skill_practice,"skill_practice session with warm-up, main work, and cool-down",45,muscle_gain;general_adult;intermediate,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0003-D016,PL0003,16,3,true,full_body_strength,"full_body_strength session with warm-up, main work, and cool-down",45,muscle_gain;general_adult;intermediate,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0003-D017,PL0003,17,3,true,cardio_endurance,"cardio_endurance session with warm-up, main work, and cool-down",45,muscle_gain;general_adult;intermediate,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0003-D018,PL0003,18,3,true,mobility_core,"mobility_core session with warm-up, main work, and cool-down",45,muscle_gain;general_adult;intermediate,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0003-D019,PL0003,19,3,false,recovery,walk + mobility + hydration check,15,muscle_gain;general_adult;intermediate,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0003-D020,PL0003,20,3,false,recovery,walk + mobility + hydration check,15,muscle_gain;general_adult;intermediate,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0003-D021,PL0003,21,3,false,recovery,walk + mobility + hydration check,15,muscle_gain;general_adult;intermediate,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0003-D022,PL0003,22,4,true,cardio_endurance,"cardio_endurance session with warm-up, main work, and cool-down",45,muscle_gain;general_adult;intermediate,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0003-D023,PL0003,23,4,true,mobility_core,"mobility_core session with warm-up, main work, and cool-down",45,muscle_gain;general_adult;intermediate,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0003-D024,PL0003,24,4,true,upper_lower_split,"upper_lower_split session with warm-up, main work, and cool-down",45,muscle_gain;general_adult;intermediate,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0003-D025,PL0003,25,4,true,skill_practice,"skill_practice session with warm-up, main work, and cool-down",45,muscle_gain;general_adult;intermediate,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0003-D026,PL0003,26,4,false,recovery,walk + mobility + hydration check,15,muscle_gain;general_adult;intermediate,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0003-D027,PL0003,27,4,false,recovery,walk + mobility + hydration check,15,muscle_gain;general_adult;intermediate,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0003-D028,PL0003,28,4,false,recovery,walk + mobility + hydration check,15,muscle_gain;general_adult;intermediate,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D001,PL0004,1,1,true,full_body_strength,"full_body_strength session with warm-up, main work, and cool-down",30,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D002,PL0004,2,1,true,cardio_endurance,"cardio_endurance session with warm-up, main work, and cool-down",30,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D003,PL0004,3,1,true,mobility_core,"mobility_core session with warm-up, main work, and cool-down",30,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D004,PL0004,4,1,false,recovery,walk + mobility + hydration check,15,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D005,PL0004,5,1,false,recovery,walk + mobility + hydration check,15,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D006,PL0004,6,1,false,recovery,walk + mobility + hydration check,15,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D007,PL0004,7,1,false,recovery,walk + mobility + hydration check,15,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D008,PL0004,8,2,true,mobility_core,"mobility_core session with warm-up, main work, and cool-down",30,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D009,PL0004,9,2,true,upper_lower_split,"upper_lower_split session with warm-up, main work, and cool-down",30,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D010,PL0004,10,2,true,skill_practice,"skill_practice session with warm-up, main work, and cool-down",30,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D011,PL0004,11,2,false,recovery,walk + mobility + hydration check,15,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D012,PL0004,12,2,false,recovery,walk + mobility + hydration check,15,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D013,PL0004,13,2,false,recovery,walk + mobility + hydration check,15,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D014,PL0004,14,2,false,recovery,walk + mobility + hydration check,15,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D015,PL0004,15,3,true,skill_practice,"skill_practice session with warm-up, main work, and cool-down",30,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D016,PL0004,16,3,true,full_body_strength,"full_body_strength session with warm-up, main work, and cool-down",30,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D017,PL0004,17,3,true,cardio_endurance,"cardio_endurance session with warm-up, main work, and cool-down",30,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D018,PL0004,18,3,false,recovery,walk + mobility + hydration check,15,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D019,PL0004,19,3,false,recovery,walk + mobility + hydration check,15,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D020,PL0004,20,3,false,recovery,walk + mobility + hydration check,15,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D021,PL0004,21,3,false,recovery,walk + mobility + hydration check,15,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D022,PL0004,22,4,true,cardio_endurance,"cardio_endurance session with warm-up, main work, and cool-down",30,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D023,PL0004,23,4,true,mobility_core,"mobility_core session with warm-up, main work, and cool-down",30,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D024,PL0004,24,4,true,upper_lower_split,"upper_lower_split session with warm-up, main work, and cool-down",30,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D025,PL0004,25,4,false,recovery,walk + mobility + hydration check,15,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D026,PL0004,26,4,false,recovery,walk + mobility + hydration check,15,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D027,PL0004,27,4,false,recovery,walk + mobility + hydration check,15,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D028,PL0004,28,4,false,recovery,walk + mobility + hydration check,15,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D029,PL0004,29,5,true,upper_lower_split,"upper_lower_split session with warm-up, main work, and cool-down",30,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D030,PL0004,30,5,true,skill_practice,"skill_practice session with warm-up, main work, and cool-down",30,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D031,PL0004,31,5,true,full_body_strength,"full_body_strength session with warm-up, main work, and cool-down",30,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D032,PL0004,32,5,false,recovery,walk + mobility + hydration check,15,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D033,PL0004,33,5,false,recovery,walk + mobility + hydration check,15,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D034,PL0004,34,5,false,recovery,walk + mobility + hydration check,15,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D035,PL0004,35,5,false,recovery,walk + mobility + hydration check,15,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D036,PL0004,36,6,true,full_body_strength,"full_body_strength session with warm-up, main work, and cool-down",30,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D037,PL0004,37,6,true,cardio_endurance,"cardio_endurance session with warm-up, main work, and cool-down",30,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D038,PL0004,38,6,true,mobility_core,"mobility_core session with warm-up, main work, and cool-down",30,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D039,PL0004,39,6,false,recovery,walk + mobility + hydration check,15,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D040,PL0004,40,6,false,recovery,walk + mobility + hydration check,15,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D041,PL0004,41,6,false,recovery,walk + mobility + hydration check,15,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D042,PL0004,42,6,false,recovery,walk + mobility + hydration check,15,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D043,PL0004,43,7,true,mobility_core,"mobility_core session with warm-up, main work, and cool-down",30,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D044,PL0004,44,7,true,upper_lower_split,"upper_lower_split session with warm-up, main work, and cool-down",30,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D045,PL0004,45,7,true,skill_practice,"skill_practice session with warm-up, main work, and cool-down",30,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0004-D046,PL0004,46,7,false,recovery,walk + mobility + hydration check,15,strength;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
