plan_id,title,audience,goal,level,duration_days,weeks,days_per_week,equipment,summary,phase_logic,progression_rule,safety_notes,review_status,created_version
PL0019,Core Beginner 28 Day Plan,general_adult,core,beginner,28,4,4,none;mat;dumbbells;resistance_band,"Structured 28-day core plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0020,Core Intermediate 28 Day Plan,general_adult,core,intermediate,28,4,4,none;mat;dumbbells;resistance_band,"Structured 28-day core plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0021,Core Advanced 28 Day Plan,general_adult,core,advanced,28,4,4,none;mat;dumbbells;resistance_band,"Structured 28-day core plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0022,Glutes Beginner 28 Day Plan,general_adult,glutes,beginner,28,4,4,none;mat;dumbbells;resistance_band,"Structured 28-day glutes plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0023,Glutes Intermediate 28 Day Plan,general_adult,glutes,intermediate,28,4,4,none;mat;dumbbells;resistance_band,"Structured 28-day glutes plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0024,Glutes Advanced 28 Day Plan,general_adult,glutes,advanced,28,4,4,none;mat;dumbbells;resistance_band,"Structured 28-day glutes plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0025,Upper Body Beginner 28 Day Plan,general_adult,upper_body,beginner,28,4,4,none;mat;dumbbells;resistance_band,"Structured 28-day upper_body plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0026,Upper Body Intermediate 28 Day Plan,general_adult,upper_body,intermediate,28,4,4,none;mat;dumbbells;resistance_band,"Structured 28-day upper_body plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0027,Upper Body Advanced 28 Day Plan,general_adult,upper_body,advanced,28,4,4,none;mat;dumbbells;resistance_band,"Structured 28-day upper_body plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0028,Lower Body Beginner 28 Day Plan,general_adult,lower_body,beginner,28,4,4,none;mat;dumbbells;resistance_band,"Structured 28-day lower_body plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0029,Lower Body Intermediate 28 Day Plan,general_adult,lower_body,intermediate,28,4,4,none;mat;dumbbells;resistance_band,"Structured 28-day lower_body plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0030,Lower Body Advanced 28 Day Plan,general_adult,lower_body,advanced,28,4,4,none;mat;dumbbells;resistance_band,"Structured 28-day lower_body plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0031,Full Body Beginner 28 Day Plan,general_adult,full_body,beginner,28,4,4,none;mat;dumbbells;resistance_band,"Structured 28-day full_body plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0032,Full Body Intermediate 28 Day Plan,general_adult,full_body,intermediate,28,4,4,none;mat;dumbbells;resistance_band,"Structured 28-day full_body plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0033,Full Body Advanced 28 Day Plan,general_adult,full_body,advanced,28,4,4,none;mat;dumbbells;resistance_band,"Structured 28-day full_body plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0034,Walking Beginner 28 Day Plan,general_adult,walking,beginner,28,4,4,none;mat;dumbbells;resistance_band,"Structured 28-day walking plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0035,Walking Intermediate 28 Day Plan,general_adult,walking,intermediate,28,4,4,none;mat;dumbbells;resistance_band,"Structured 28-day walking plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0036,Walking Advanced 28 Day Plan,general_adult,walking,advanced,28,4,4,none;mat;dumbbells;resistance_band,"Structured 28-day walking plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0037,Cycling Beginner 28 Day Plan,general_adult,cycling,beginner,28,4,4,none;mat;dumbbells;resistance_band,"Structured 28-day cycling plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0038,Cycling Intermediate 28 Day Plan,general_adult,cycling,intermediate,28,4,4,none;mat;dumbbells;resistance_band,"Structured 28-day cycling plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0039,Cycling Advanced 28 Day Plan,general_adult,cycling,advanced,28,4,4,none;mat;dumbbells;resistance_band,"Structured 28-day cycling plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0040,Home Strength Beginner 28 Day Plan,general_adult,home_strength,beginner,28,4,4,none;mat;dumbbells;resistance_band,"Structured 28-day home_strength plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0041,Home Strength Intermediate 28 Day Plan,general_adult,home_strength,intermediate,28,4,4,none;mat;dumbbells;resistance_band,"Structured 28-day home_strength plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0042,Home Strength Advanced 28 Day Plan,general_adult,home_strength,advanced,28,4,4,none;mat;dumbbells;resistance_band,"Structured 28-day home_strength plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0043,Gym Strength Beginner 28 Day Plan,general_adult,gym_strength,beginner,28,4,4,none;mat;dumbbells;resistance_band,"Structured 28-day gym_strength plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0044,Gym Strength Intermediate 28 Day Plan,general_adult,gym_strength,intermediate,28,4,4,none;mat;dumbbells;resistance_band,"Structured 28-day gym_strength plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0045,Gym Strength Advanced 28 Day Plan,general_adult,gym_strength,advanced,28,4,4,none;mat;dumbbells;resistance_band,"Structured 28-day gym_strength plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0046,Stretching Beginner 28 Day Plan,general_adult,stretching,beginner,28,4,4,none;mat;dumbbells;resistance_band,"Structured 28-day stretching plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0047,Stretching Intermediate 28 Day Plan,general_adult,stretching,intermediate,28,4,4,none;mat;dumbbells;resistance_band,"Structured 28-day stretching plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0048,Stretching Advanced 28 Day Plan,general_adult,stretching,advanced,28,4,4,none;mat;dumbbells;resistance_band,"Structured 28-day stretching plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0049,Recovery Beginner 28 Day Plan,general_adult,recovery,beginner,28,4,4,none;mat;dumbbells;resistance_band,"Structured 28-day recovery plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0050,Recovery Intermediate 28 Day Plan,general_adult,recovery,intermediate,28,4,4,none;mat;dumbbells;resistance_band,"Structured 28-day recovery plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0051,Recovery Advanced 28 Day Plan,general_adult,recovery,advanced,28,4,4,none;mat;dumbbells;resistance_band,"Structured 28-day recovery plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0052,Athletic Power Beginner 28 Day Plan,general_adult,athletic_power,beginner,28,4,4,none;mat;dumbbells;resistance_band,"Structured 28-day athletic_power plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0053,Athletic Power Intermediate 28 Day Plan,general_adult,athletic_power,intermediate,28,4,4,none;mat;dumbbells;resistance_band,"Structured 28-day athletic_power plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0054,Athletic Power Advanced 28 Day Plan,general_adult,athletic_power,advanced,28,4,4,none;mat;dumbbells;resistance_band,"Structured 28-day athletic_power plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
